"sel.K","K","ERR2868916","ERR2868917","ERR2868918","ERR2868919","ERR2868920","ERR2868921","ERR2868922","ERR2868923","ERR2868924","ERR2868925","ERR2868926","ERR2868927","ERR2868928","ERR2868929","ERR2868930","ERR2868931","ERR2868932","ERR2868933","ERR2868939","ERR2868940","ERR2868941","ERR2868942","ERR2868943","ERR2868944","ERR2868945","ERR2868946","ERR2868947","ERR2868948","ERR2868949","ERR2868950","ERR2868951","ERR2868952","ERR2868953","ERR2868954","ERR2868955","ERR2868956","ERR2868957","ERR2868958","ERR2868959","ERR2868960","ERR2868961","ERR2868962","ERR2868963","ERR2868964","ERR2868965","ERR2868966","ERR2868967","ERR2868968","ERR2868969","ERR2868970","ERR2868971","ERR2868972","ERR2868973","ERR2868974","ERR2868975","ERR2868976","ERR2868977","ERR2868978","ERR2868979","ERR2868980","ERR2868981","ERR2868982","ERR2868983","ERR2868984","ERR2868985","ERR2868986","ERR2868987","ERR2868988","ERR2868989","ERR2868990","ERR2868991","ERR2868992","ERR2868993","ERR2868994","ERR2868995","ERR2868996","ERR2868997","ERR2868998","ERR2868999","ERR2869000","ERR2869001","ERR2869002","ERR2869003","ERR2869004","ERR2869005","ERR2869006","ERR2869007","ERR2869008","ERR2869009","ERR2869010","ERR2869011","ERR2869012","ERR2869013","ERR2869014","ERR2869015","ERR2869016","ERR2869017","ERR2869018","ERR2869019","ERR2869020","ERR2869021","ERR2869022","ERR2869023","ERR2869024","ERR2869025","ERR2869026","ERR2869027","ERR2869028","ERR2869029","ERR2869030","ERR2869031","ERR2869032","ERR2869033","ERR2869034","ERR2869035","ERR2869036","ERR2869037","ERR2869038","ERR2869039","ERR2869040","ERR2869041"
False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
False,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,0
False,3,1,1,1,1,3,3,3,1,1,3,3,1,3,3,3,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,1,2,1,3,1,2,1,1,2,1,2,1,2,2,1,3,1,2,3,1,2,2,1,1,2,1,2,2,0
False,4,3,2,2,2,4,4,4,2,2,4,4,2,4,4,4,4,4,4,2,2,2,1,2,3,2,2,2,2,2,3,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,3,2,2,2,1,2,1,1,1,2,1,1,1,2,3,1,2,2,2,2,2,1,3,1,1,3,3,1,1,1,1,1,3,3,1,3,3,1,1,1,3,1,3,1,3,3,3,1,3,4,3,1,3,3,1,3,1,3,1,1,3,4,3,1,4,3,1,1,3,3,1,3,1,1,0
True,5,2,2,1,1,5,5,5,1,1,5,5,1,5,5,5,5,5,5,1,1,1,4,1,2,1,1,1,1,1,2,1,1,4,4,1,4,3,1,4,1,1,1,1,4,1,1,4,2,1,1,1,4,1,4,4,3,1,4,4,4,1,2,4,1,1,1,1,1,4,2,3,4,2,2,3,3,3,3,3,2,2,3,2,2,3,3,4,2,3,2,3,2,2,2,3,2,5,2,3,2,2,3,2,3,2,3,3,2,5,2,3,5,2,3,3,2,2,3,2,3,3,0
False,8,6,8,7,7,6,6,6,1,1,6,6,8,6,6,6,6,6,6,1,7,7,4,1,3,7,8,8,1,7,3,1,7,4,4,1,4,2,1,4,8,7,1,1,4,1,1,4,3,1,1,7,4,1,4,4,2,1,8,4,4,1,3,4,1,7,1,1,1,4,3,2,4,3,3,3,2,3,2,2,3,5,2,3,5,2,2,4,5,3,5,2,5,3,5,2,5,6,5,2,3,5,2,5,2,5,2,2,5,6,5,3,6,5,2,2,5,3,2,5,3,2,0
False,14,4,9,10,8,4,4,4,10,3,4,4,14,4,4,4,4,4,4,3,10,5,5,12,2,8,9,9,3,5,2,3,8,5,7,3,7,7,3,7,7,8,3,3,5,3,3,5,2,12,3,5,5,12,5,5,1,3,7,5,5,3,2,5,10,5,3,3,3,11,2,1,11,2,2,2,1,2,1,1,2,6,1,2,6,1,1,11,6,2,6,1,13,2,6,1,9,4,6,1,2,6,1,6,1,13,1,1,6,4,6,2,4,6,1,1,6,2,1,13,2,1,0
False,26,18,11,15,13,2,2,2,22,5,2,2,21,2,2,2,2,2,2,7,15,9,10,25,3,13,7,11,7,9,3,7,9,8,10,5,7,10,5,10,11,13,7,5,8,5,7,8,3,14,5,24,9,14,10,9,1,5,11,16,8,5,3,8,15,9,7,5,19,1,3,1,8,3,3,4,4,4,1,1,3,6,4,17,23,20,1,16,6,4,14,4,12,3,6,4,26,2,6,4,3,6,1,17,1,12,1,1,6,2,6,4,2,6,1,1,6,3,1,12,4,1,0
False,39,37,15,13,14,1,1,1,22,29,1,1,23,1,1,1,1,1,1,5,13,11,8,25,2,26,5,15,5,11,2,5,14,7,8,4,5,8,4,8,38,14,5,4,7,4,5,7,31,10,4,27,11,10,8,11,16,4,15,16,7,4,2,7,13,28,5,4,30,24,2,36,7,2,2,12,6,6,3,3,2,9,6,12,34,35,3,16,9,6,10,6,17,2,9,12,39,10,21,6,2,20,3,32,3,18,3,33,19,1,9,2,1,9,3,6,17,2,3,17,6,3,0
